Model;Scenario;Region;Variable;Unit;2020;2025;2030;2040;2050
NiGEM NGFS v1.22 [GCAM 5.3+ NGFS];Divergent Net Zero;NiGEM NGFS v1.22|Africa;"NiGEM|Central bank Intervention rate (policy interest rate); %|Chronic physical";Abs. difference;135.0537;1003.54;1338.116;1990.061;2641.991
