Model;Scenario;Region;Variable;Unit;2020;2025;2030;2040;2050
NiGEM NGFS v1.22 [REMIND-MAgPIE 3.0-4.4];Net Zero 2050;NiGEM NGFS v1.22|Europe;Price of carbon; US$2010/t CO2;30.4372842052246;226.169581288743;301.57348772872 ;448.503265736212;595.429850504052
